Year,Hole Size/million sq km,CFC-12 Mole Fraction in SH
1979,1.09,272.5
1980,3.27,292.3
1981,3.15,308.8
1982,10.8,325.5
1983,12.24,342.6
1984,14.65,359.4
1985,18.79,378.2
1986,14.37,396.5
1987,22.45,416.3
1988,13.76,435.8
1989,21.73,454.4
1990,21.05,472.7
1991,22.6,487.3
1992,24.9,498.3
1993,24.017,507
1994,23.429,514.8
1995,,521
1996,26.96,526.5
1997,25.13,530.8
1998,28.21,534.3
1999,26.09,537.2
2000,29.4,539
2001,26.52,540.6
2002,21.74,541.3
2003,28.51,541.6
2004,22.76,541.5
2005,26.77,540.7
2006,29.46,539.8
2007,25.02,538.1
2008,27.1,536.2
2009,24.1,533.53
2010,22.2,530.9
2011,26,528.47
2012,21.2,525.88
2013,24,523.48
2014,24.1,521.08
